ID,TargetF1,TargetRAUC
ID_TS_ER7U8H,0,0
ID_TS_0IMJYJ,0,0
ID_TS_CMRSEZ,0,0
ID_TS_YTKW28,0,0
ID_TS_37C6QC,0,0
ID_TS_6K8DJZ,0,0
ID_TS_R5SWK8,0,0
ID_TS_TEMPXK,0,0
ID_TS_C5I8XO,0,0
ID_TS_MXLVZ4,0,0
ID_TS_QKE2GJ,0,0
ID_TS_R81BMQ,0,0
ID_TS_F7ZK94,0,0
ID_TS_YXFIBL,0,0
ID_TS_EJGUBL,0,0
ID_TS_MNTFK7,0,0
ID_TS_ORFQLA,0,0
ID_TS_09LZRK,0,0
ID_TS_79UFU6,0,0
ID_TS_PY06FT,0,0
ID_TS_LO4QDB,0,0
ID_TS_XVH7KA,0,0
ID_TS_TQYDSH,0,0
ID_TS_LV76MF,0,0
ID_TS_4NNKM9,0,0
ID_TS_5D0P92,0,0
ID_TS_K38P6F,0,0
ID_TS_VDHR59,0,0
ID_TS_C81DO6,0,0
ID_TS_OUZ1EG,0,0
ID_TS_NTB34K,0,0
ID_TS_UQAAJ8,0,0
ID_TS_4RX6PR,0,0
ID_TS_YIEJ9C,0,0
ID_TS_0UU5WR,0,0
ID_TS_YESU4F,0,0
ID_TS_CL5EFJ,0,0
ID_TS_P6MKT7,0,0
ID_TS_S1GD1T,0,0
ID_TS_53YKYY,0,0
ID_TS_DU3ASN,0,0
ID_TS_RM6DFH,0,0
ID_TS_G6W3ST,0,0
ID_TS_T1EQC3,0,0
ID_TS_7RLN36,0,0
ID_TS_V1MZB3,0,0
ID_TS_I4FIEE,0,0
ID_TS_CY2C11,0,0
ID_TS_BD2SCE,0,0
ID_TS_JCY127,0,0
ID_TS_H6GMD4,0,0
ID_TS_78MFS0,0,0
ID_TS_IUDUAH,0,0
ID_TS_GK6T9D,0,0
ID_TS_HSZNVP,0,0
ID_TS_8GMNHI,0,0
ID_TS_E9EDE1,0,0
ID_TS_ZUBLEK,0,0
ID_TS_VL9PTK,0,0
ID_TS_4GC4RY,0,0
ID_TS_G9RDPX,0,0
ID_TS_DFOVD7,0,0
ID_TS_9C9MV9,0,0
ID_TS_E40KZU,0,0
ID_TS_J2XORV,0,0
ID_TS_ORK1DJ,0,0
ID_TS_RWEDBC,0,0
ID_TS_Y8NYFW,0,0
ID_TS_DC112H,0,0
ID_TS_XRJM4T,0,0
ID_TS_8BP6NL,0,0
ID_TS_NQBU4K,0,0
ID_TS_ZREZRD,0,0
ID_TS_YXYUR4,0,0
ID_TS_SOR8WM,0,0
ID_TS_9LBB4M,0,0
ID_TS_0A6MDM,0,0
ID_TS_MMXIXV,0,0
ID_TS_6CKMAL,0,0
ID_TS_Q5U6JZ,0,0
ID_TS_V9NOU3,0,0
ID_TS_DYMS1M,0,0
ID_TS_WNPR42,0,0
ID_TS_4TKB9O,0,0
ID_TS_I0D4DM,0,0
ID_TS_C2RH2X,0,0
ID_TS_K2PTHO,0,0
ID_TS_WQ1GAZ,0,0
ID_TS_5UH80Q,0,0
ID_TS_7TW1PU,0,0
ID_TS_WSNFFY,0,0
ID_TS_KPL3CH,0,0
ID_TS_O3XJVO,0,0
ID_TS_EGI3QU,0,0
ID_TS_PXBFEJ,0,0
ID_TS_2XG48R,0,0
ID_TS_A4DV56,0,0
ID_TS_ONXD70,0,0
ID_TS_FE07S3,0,0
ID_TS_87J5IE,0,0
ID_TS_3LVO0I,0,0
ID_TS_PFG8PJ,0,0
ID_TS_VRN8LP,0,0
ID_TS_Y857NZ,0,0
ID_TS_3A8V4X,0,0
ID_TS_7Y2ITL,0,0
ID_TS_8N3E54,0,0
ID_TS_N6O9JD,0,0
ID_TS_3IH66W,0,0
ID_TS_51OB53,0,0
ID_TS_7QO4Z5,0,0
ID_TS_33ZSMV,0,0
ID_TS_30QABX,0,0
ID_TS_W2EOWL,0,0
ID_TS_CFS831,0,0
ID_TS_4Y2LR0,0,0
ID_TS_JY32HO,0,0
ID_TS_G585I8,0,0
ID_TS_7XW69H,0,0
ID_TS_ZGOPJD,0,0
ID_TS_N8EZP7,0,0
ID_TS_QYEZG5,0,0
ID_TS_2KRE4V,0,0
ID_TS_9KYPOF,0,0
ID_TS_KJW6NY,0,0
ID_TS_QAELYY,0,0
ID_TS_ZZ0JDC,0,0
ID_TS_LI6978,0,0
ID_TS_V0BJWK,0,0
ID_TS_ON8UUJ,0,0
ID_TS_S75ELT,0,0
ID_TS_FEBE54,0,0
ID_TS_07K5W1,0,0
ID_TS_JL6L91,0,0
ID_TS_F4X2BF,0,0
ID_TS_IBJZP9,0,0
ID_TS_7BMZRR,0,0
ID_TS_45ED5G,0,0
ID_TS_GSJ6VV,0,0
ID_TS_8SUOC1,0,0
ID_TS_Y5AYYO,0,0
ID_TS_V84FC3,0,0
ID_TS_XQ8VA8,0,0
ID_TS_X8L008,0,0
ID_TS_UHBXLB,0,0
